,P. Kur,Ilwaki,Larat,Adault/Lingat,P. Leti,Saumlaki,Kaisui,Dawera / Dawelor,Dobo.1,Kisar,Namrole.1,Dobo.2,Tabarfane,Makassar,Arwala/ Sutilirang,Weduar,Kasiui,Elat,Tanjung Perak,Tam,Molu,Eray,Wamsisi,Kelang,Wunlah,P. Geser,Tutukembong,Dobo,Werinama,Kelimuri,Waemulang,Kisar.1,Bebar,Namlea.1,Marlasi,Tepa,Kisar 1,Lelang,P. Tior,Namrole,Banda Eli,Longgar,Moa,Kelimoi,P. Manawoka,Namlea,Manipa,Kaimer,Toyando,Mangur,Lewa/Dai,Seira,Sofyanin/Rumayaan,P. Kesui,Gorom,Banda Neira,Geser,Rumean,Banda Neira.1,Taniwel,Tifu,Moa.1,Nila,Marlasi.1,Jerol,Kobisadar,Werinama.2,Adault / Lingat,Lelam Kojabi,Dawera/Dawelor,Wahai,Ambalau,Tual,Mun,Buano,Kroing,Kisar1,Fadol,Sofyanin/ Rumayaan,Romang,Marsela,Serua,Amahai,Holat,P.Geser,Teon,Ambon,Nurkat,Saumlaki.1,Tanjung Priok,P. Luang,Arwala/Sutilirang,Fogi,Wulur,Kailakat,Werinama.1,Benjina,Meror,Bula,Lewa / Dai,Leksula,Lakor
P. Kur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilwaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adault/Lingat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Leti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saumlaki,42201.48,60612.91,19032.04,,45097.66,,49235.06,16135.86,,,,,42822.090000000004,,55648.03,35788.51,,37443.47,,35995.38,23376.31,67646.49,76335.03,75921.29000000001,15515.25,,9309.15,,61647.26,57302.99,86678.53,,34961.03,,56475.51,21307.61,51096.89,29168.670000000002,47166.36,,41580.87,42822.090000000004,,59164.82,53993.07,,75093.81,43442.700000000004,35374.770000000004,39098.43,,9102.28,,48200.71,53786.200000000004,,54820.55,16963.34,,87919.75,81920.52,,27513.71,,40753.39,104676.22,,6206.1,57302.99,,100952.56,72818.24,,39719.04,80679.3,17790.82,,40960.26,17377.08,48200.71,17583.95,27720.58,66405.27,33306.07,,29582.41,,22962.57,,,31857.98,,90609.06,34547.29,50269.41,,44890.79,40960.26,67025.88,20893.87,85023.57,38684.69
Kaisui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawera / Dawelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobo.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisar,69508.32,9309.15,58337.340000000004,,6412.97,,71577.02,36409.12,,,,,91229.67,,6412.97,77576.25,,79231.21,,71163.28,57509.86,19238.91,53372.46,60199.17,54406.81,,62474.74,,68267.1,69508.32,56682.380000000005,,24410.66,,107986.14,31030.5,7861.06,22135.09,70749.54000000001,,93298.37,93918.98,,75714.42,72197.63,,58751.08,70542.67,70956.41,68060.23,,48821.32,,70749.54000000001,74059.46,,71370.15000000001,60612.91,,73231.98,53579.33,,34133.55,,89160.97,90402.19,,48407.58,109020.49,,86471.66,52338.11,,81713.65000000001,65991.53,34754.16,,68473.97,61233.520000000004,6826.71,35374.770000000004,42408.35,63509.090000000004,72818.24,,29168.670000000002,,55441.16,,,19032.04,,60199.17,23376.31,71370.15000000001,,92057.15000000001,92057.15000000001,83161.74,33512.94,55441.16,13239.68
Namrole.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobo.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
