,U,U1,P,ZPL
0,Tanjung Priok,Tanjung Perak,Banda Neira,106331684211.04001
1,Tanjung Priok,Tanjung Perak,Dobo,247294505970.0
2,Tanjung Priok,Tanjung Perak,Ambon,122644551978.54999
3,Tanjung Priok,Tanjung Perak,Tual,111209607407.5
4,Tanjung Priok,Tanjung Perak,Saumlaki,147388593869.95
5,Tanjung Priok,Makassar,Banda Neira,106338949214.79001
6,Tanjung Priok,Makassar,Dobo,247301770973.75
7,Tanjung Priok,Makassar,Ambon,122651816982.29999
8,Tanjung Priok,Makassar,Tual,111216872411.25
9,Tanjung Priok,Makassar,Saumlaki,147395858873.7
