,port,port_type
0,Tanjung Priok,U
1,Tanjung Perak,U
2,Makassar,U
3,Namlea,P
4,Namrole,P
5,Moa,P
6,Saumlaki,P
7,Kisar,P
8,Dobo,P
9,Ambon,P
10,Tual,P
11,Banda Neira,P
12,Ambalau,R
13,Wamsisi,R
14,Leksula,R
15,Tifu,R
16,Waemulang,R
17,Fogi,R
18,Manipa,R
19,Kelang,R
20,Buano,R
21,Taniwel,R
22,Wahai,R
23,Kobisadar,R
24,Bula,R
25,Kelimoi,R
26,Geser,R
27,Kelimuri,R
28,Werinama,R
29,Amahai,R
30,P. Manawoka,R
31,Gorom,R
32,Kailakat,R
33,P. Kesui,R
34,Kaisui,R
35,P. Tior,R
36,Kaimer,R
37,Mangur,R
38,Fadol,R
39,P. Kur,R
40,Toyando,R
41,Tam,R
42,Holat,R
43,Weduar,R
44,Elat,R
45,Mun,R
46,Banda Eli,R
47,Benjina,R
48,Tabarfane,R
49,Jerol,R
50,Meror,R
51,Longgar,R
52,Marlasi,R
53,Lelam Kojabi,R
54,Larat,R
55,Sofyanin/ Rumayaan,R
56,Rumean,R
57,Wunlah,R
58,Seira,R
59,Nurkat,R
60,Molu,R
61,Tutukembong,R
62,Adault / Lingat,R
63,Marsela,R
64,Tepa,R
65,Dawera / Dawelor,R
66,Kroing,R
67,Lewa / Dai,R
68,Serua,R
69,Nila,R
70,Teon,R
71,Wulur,R
72,Bebar,R
73,Eray,R
74,Ilwaki,R
75,Romang,R
76,Arwala/ Sutilirang,R
77,Kisar 1,R
78,P. Leti,R
79,Lakor,R
80,P. Luang,R
81,Lelang,R
84,P.Geser,R
88,Kasiui,R
90,Adault/Lingat,R
91,Arwala/Sutilirang,R
92,Dawera/Dawelor,R
94,Kisar1,R
95,Lewa/Dai,R
97,Sofyanin/Rumayaan,R
98,P. Geser,R
